buildingnumber,score_electricity,score_cooling,score_gas,score_heat,score_steam,cross_utility_score,n_utilities,cross_utility_rank,buildingname,grossarea
4,-0.1287012706214866,-0.3375956943187174,,-0.23225755257206968,,-0.23285150583742456,3,240,"Eighteenth Ave, 209 W (0004)",25034
131,-0.16131095052029623,,-0.2447484495489866,-0.3152480271562571,,-0.24043580907518,3,241,Aronoff Laboratory (0131),108644
154,-0.3635763336576933,,-0.12070832093002501,,,-0.24214232729385915,2,242,Poultry Brooding House 2 (0154),5661
372,-0.29555384615806546,-0.3609015585243626,-0.5032536040831045,0.17701434093818863,,-0.245673666956836,4,243,Brain and Spine Hospital (0372),258797
302,-0.19118577444471704,,-0.5658161939395366,0.006646075752624235,,-0.2501186308772098,3,244,Prior Hall (0302),147486
1040,,-0.03025590498511047,,-0.4713104627995768,,-0.2507831838923436,2,245,Pelotonia Research Center (1040),310590
875,-0.252004311543576,,,,,-0.252004311543576,1,246,Parking Garage - Ninth Ave E (0875),332400
88,-0.33797699738961956,,-0.4501505844646685,-0.15208487798031484,-0.0764040920037006,-0.25415413795957587,4,247,Parking Garage - Tuttle Park Pl (0088),364069
272,-0.045135255468904095,,-0.41243503948928184,-0.30631430380245894,,-0.2546281995868816,3,248,Morrill Tower (0272),322612
180,-0.2689262297322763,-0.3836444441148333,-0.09895957009794104,,-0.26732081764595206,-0.2547127653977507,4,249,Goss Laboratory (0180),67943
977,-0.005980775766494004,,-0.5093365633382992,,,-0.25765866955239664,2,250,ElectroScience Laboratory Complex (0977),40704
14,-0.12583435876177432,,-0.5783771274120663,-0.09436217174765893,,-0.2661912193071665,3,251,Jennings Hall (0014),112502
37,-0.19913691303400727,,-0.28187636402430133,-0.3273388345983899,,-0.2694507038855662,3,252,Hagerty Hall (0037),142496
65,-0.29911815109592604,-0.24610768725093113,-0.08760182735659847,-0.4525910304611791,,-0.27135467404115865,4,253,Smith Laboratory (0065),218468
932,-0.22051496620439998,,-0.33504751236749714,,,-0.27778123928594856,2,254,"Kinnear Rd, 1165 (0932)",104514
959,-0.27787670118957175,,,,,-0.27787670118957175,1,255,Kuhn Honors and Scholars House (0959),9988
1025,-0.16127213290407758,-0.32438086306682495,,-0.35296350349207234,,-0.27953883315432493,3,256,"Theatre, Film and Media Arts Building (1025)",123378
160,-0.23804141015745553,-0.14861535868055611,-0.5802489763871125,-0.15329563315812803,,-0.28005034459581307,4,257,Student Academic Services (0160),137002
880,-0.2800866623345437,,,,,-0.2800866623345437,1,258,Morehouse Medical Plaza - Pavilion (0880),174609
353,-0.2585763563844172,-0.30585564968078344,,,-0.28122022076401776,-0.28188407560973944,3,259,Ross Heart Hospital (0353),311590
340,-0.19539364800963233,,-0.5534852422610316,-0.10547992164933033,,-0.28478627063999806,3,260,Kottman Hall (0340),166094
252,-0.2798863760587197,-0.5223860992414623,,-0.06131604479747236,,-0.2878628400325514,3,261,Mason Hall (0252),68150
375,-0.2936414431847174,-0.3403262365843931,-0.5441154875642163,-0.0019087087803447839,,-0.2949979690284179,4,262,James Cancer Hospital (0375),1183561
84,-0.05347725018463717,,-0.5851447060585634,-0.2501234166214563,,-0.2962484576215523,3,263,Stillman Hall (0084),68544
282,-0.12383411707866007,-0.33119290190998174,,,-0.46146349241465945,-0.30549683713443376,3,264,Galbreath Equine Center (0282),41121
354,-0.08293268683457944,-0.48578505105412406,-0.5327179959088786,-0.14254518659436044,,-0.3109952300979857,4,265,Rhodes Hall (0354),508398
311,-0.5303091442173529,,-0.15047127213310463,,,-0.34039020817522875,2,266,Mount Hall (0311),75660
157,-0.20002995705053855,,-0.581725462955313,,-0.23974113937315522,-0.3404988531263356,3,267,Wiseman Hall (0157),82032
382,-0.3426406311618296,,,,,-0.3426406311618296,1,268,Davis Medical Research Center (0382),43459
303,-0.2758446717177694,,-0.4221192834673695,,,-0.34898197759256944,2,269,McCampbell Hall (0303),133041
24,-0.2759366361115564,-0.44939947078676584,-0.4499153207438141,-0.2571449019582761,,-0.3580990824001031,4,270,Postle Hall (0024),394592
70,-0.23248318090509634,-0.5121759368979837,-0.5662414763980761,-0.12318003886168974,,-0.35852015826571143,4,271,Physics Research Building (0070),238732
231,-0.39013642175360536,,,,,-0.39013642175360536,1,272,Zoology Research Laboratory (0231),800
52,-0.4572462051179993,,-0.3673754765843192,,,-0.4123108408511592,2,273,Younkin Success Center (0052),68619
1316,-0.4516735828503541,,,,,-0.4516735828503541,1,274,Waterman - Pump House (1316),1116
46,-0.4276981864596442,-0.8905674928446167,,-0.16445508062631528,,-0.494240253310192,3,275,Journalism Building (0046),84561
