buildingnumber,score_electricity,score_cooling,score_gas,score_heat,score_steam,cross_utility_score,n_utilities,cross_utility_rank,buildingname,grossarea
165,-0.18173583852884695,0.2588180725895429,,,-0.2438913398047844,-0.055603035248029474,3,125,Harding Hospital (0165),114199
17,-0.12712851473343406,0.08425265325896922,-0.5527593836795701,0.37181484182925983,,-0.05595510083119379,4,126,Knowlton Hall (0017),174422
385,-0.10111926748575907,,-0.011807686226484537,,,-0.056463476856121804,2,127,Child Care Center (0385),40376
1101,0.048063817063220805,-0.010198679758265095,0.0038104951742991,-0.27386928008133415,,-0.05804841190051983,4,128,Torres House (1101),127073
266,-0.1325400652694675,-0.05510953570941814,,0.010660423376362405,,-0.05899639253417441,3,129,Riffe Building (0266),130130
373,-0.04865010664364639,,-0.07037935512034377,,,-0.059514730881995076,2,130,"Kinnear Rd, 1100 (0373)",47376
1006,-0.06372009795136507,,-0.05715927340173578,,,-0.06043968567655043,2,131,Covelli Center (1006),124950
308,-0.030743093201713024,,-0.08169250866428932,-0.07375663894888485,,-0.06206408027162905,3,132,Rightmire Hall (0308),97650
1105,0.004245621678013303,-0.17094941811080677,,-0.02072291790233424,,-0.06247557144504257,3,133,Busch House (1105),117017
39,-0.06381575497859149,,,,,-0.06381575497859149,1,134,Hayes Hall (0039),43685
867,,,-0.06454516433225206,,,-0.06454516433225206,1,135,Gateway F - North (0867),19356
293,-0.1394784852265062,0.12194525668382561,-0.08644955793434687,-0.15669102164587903,,-0.06516845203072662,4,136,Cunz Hall (0293),68100
103,-0.09521313513929028,,,-0.13412658907980995,0.024235898904317557,-0.06836794177159422,3,137,Paterson Hall (0103),64484
127,-0.10866502381211586,-0.03547454283246058,,,,-0.07206978332228822,2,138,Smith Electrical Substation (0127),23886
379,-0.07698244205740103,,,,,-0.07698244205740103,1,139,Telecommunications Network Center (0379),30027
76,-0.147563212748329,,,-0.007114325532701415,,-0.07733876914051521,2,140,St John Arena (0076),229280
42,-0.17974174641969806,,,0.01861827459027888,,-0.0805617359147096,2,141,Hughes Hall (0042),60613
284,-0.03515395947424864,,-0.12797013838870494,,,-0.08156204893147678,2,142,Fawcett Center for Tomorrow (0284),182142
337,-0.18631138168204786,0.11988498520145288,,-0.18108895727362395,,-0.08250511791807298,3,143,Dulles Hall (0337),41284
106,-0.10582455964000943,,,-0.05933511570563213,,-0.08257983767282079,2,144,Sullivant Hall (0106),135883
992,-0.08316549033679482,,,,,-0.08316549033679482,1,145,Waterman - Turf Shed 1 (0992),1900
66,-0.004844852823502294,,-0.16231081432828254,,,-0.08357783357589242,2,146,Plumb Hall (0066),45947
295,0.05412783584141889,,,-0.2226074832628447,,-0.08423982371071291,2,147,Howlett Hall (0295),62825
1102,0.0053025506967032884,-0.046755487582640254,0.010966840321471528,-0.3085017934616147,,-0.08474697250652004,4,148,Houston House (1102),138006
1104,-0.017768277263623573,-0.1472180656907453,,-0.09116450824879523,,-0.08538361706772137,3,149,Bowen House (1104),95448
1,-0.11887743787932512,-0.15344794685872654,,0.014107603163923576,,-0.08607259385804271,3,150,Bricker Hall (0001),74140
377,-0.08624699543318229,,,,,-0.08624699543318229,1,151,Generator Building (0377),4447
931,0.003845350668586753,,-0.1814372439264859,,,-0.08879594662894957,2,152,"Kinnear Rd, 960 (0931)",42405
338,-0.23368285666713878,0.31024173619295864,,,-0.344080101240812,-0.08917374057166405,3,153,Independence Hall (0338),15891
149,0.03696217198656934,,-0.02806895229092046,-0.27853524119989753,,-0.08988067383474956,3,154,Hopkins Hall (0149),110154
97,-0.07233404245849018,,,-0.10789832751988246,,-0.09011618498918632,2,155,Bradley Hall (0097),70349
294,-0.22649758746518753,0.09316081854505498,,-0.1380811959728699,,-0.09047265496433415,3,156,Wilce Student Health Center (0294),65255
1041,-0.09221260097157413,,,,,-0.09221260097157413,1,157,Optometry Clinic (1041),103650
866,-0.09263599874132385,,,,,-0.09263599874132385,1,158,Parking Garage - Gateway E (0866),390139
251,-0.2780730359505919,-0.042695068872010314,,0.03611780376407566,,-0.09488343368617552,3,159,Schoenbaum Hall (0251),62748
144,-0.2861415467327172,-0.0200844380779487,-0.0987400757451605,0.01861827459027888,,-0.09658694649138688,4,160,Psychology Building (0144),132733
90,-0.01152887429804069,,,-0.18170532643419873,,-0.09661710036611972,2,161,Ramseyer Hall (0090),87452
194,0.03338975047134246,,,-0.23172380390470154,,-0.09916702671667954,2,162,Houck House (0194),38462
176,-0.10030897916544598,,,,,-0.10030897916544598,1,163,Starling Loving Hall (0176),70620
113,-0.10479557512876553,,-0.09895957009794104,,,-0.10187757261335328,2,164,Davis Heart and Lung Research Institute (0113),139528
1926,,,-0.1052060442862171,,,-0.1052060442862171,1,165,4-H Center - Hoop Greenhouse D (1926),2250
170,-0.09212891502304081,,-0.11958835682329397,,,-0.10585863592316738,2,166,Parking Garage - SafeAuto Hospitals (0170),367640
112,-0.13505608910933303,,-0.07884186386810355,,,-0.10694897648871829,2,167,Biomedical Research Tower (0112),412630
158,-0.5503522970630551,,0.3356167062229955,,,-0.1073677954200298,2,168,Reactor (0158),4887
299,-0.2547258381691592,-0.1736147383596138,-0.10866868964834599,0.10438887956008588,,-0.10815509665425826,4,169,Veterinary Medical Center (0299),278249
851,-0.013753243452670982,0.004686755687725225,,-0.3219469065649069,,-0.11033779810995088,3,170,Park-Stradley Hall (0851),271039
47,-0.1642409079745526,,-0.05811440956097501,,,-0.11117765876776381,2,171,Mershon Center (0047),36976
82,0.1144715733883212,,,-0.338724804864714,,-0.1121266157381964,2,172,Ohio Stadium (0082),854223
171,-0.12815219015005075,,-0.09895957009794104,,,-0.1135558801239959,2,173,Dodd Hall (0171),86802
50,-0.023473973164734114,-0.19845613278384544,-0.08760182735659847,-0.14728168871138436,,-0.1142034055041406,4,174,Thompson Library (0050),308820
102,-0.020912923049139224,,,-0.22077853132832298,,-0.1208457271887311,2,175,Oxley Hall (0102),33481
275,-0.08081243520655002,,-0.09895957009794104,-0.18642710355875655,,-0.12206636962108253,3,176,Newton Hall (0275),80675
217,0.013232954176751813,,-0.26254124177008065,,,-0.12465414379666442,2,177,Recreation Field Support and Utility (0217),3827
274,-0.2064737390314161,0.048248993908916585,-0.09895957009794104,-0.24358233707516863,,-0.12519166307390228,4,178,Hitchcock Hall (0274),118612
146,-0.10667300267856696,-0.05012999063478046,-0.09895957009794104,-0.2520648368061038,,-0.12695685005434806,4,179,Bolz Hall (0146),82179
229,-0.1117709968680874,,,-0.1438974408312222,,-0.1278342188496548,2,180,Ice Rink (0229),34135
86,-0.04494970927171903,,,-0.21438646265673067,,-0.12966808596422486,2,181,French Field House (0086),91588
268,-0.10187617891020206,,-0.15855313660310355,,,-0.1302146577566528,2,182,Taylor Tower (0268),143043
339,-0.21819098618925659,-0.04356891925351275,,-0.13695573809633607,,-0.13290521451303514,3,183,University Hall (0339),77845
1583,-0.14297660891167605,,-0.12402358558392253,,,-0.1335000972477993,2,184,Kunz-Brundige Extension Building (1583),10495
1108,-0.15033459441925087,0.29211006777416404,-0.25465872607338663,-0.4218518789697192,,-0.13368378292204816,4,185,Scott House (1108),169311
280,-0.3565833061977022,-0.11775608467692229,,0.0714144720851877,,-0.13430830626314558,3,186,Baker Systems Engineering (0280),115386
28,-0.1267434108576351,,-0.1291695452035948,-0.14953156002181764,,-0.1351481720276825,3,187,Faculty Club (0028),32811
297,-0.06981944238153823,,-0.1291695452035948,-0.04791980980558941,-0.30935561712192555,-0.139066103628162,4,188,Howlett Greenhouses (0297),41678
59,-0.04697797796740272,,,-0.23376545355587086,,-0.1403717157616368,2,189,Fry Hall (0059),58051
61,-0.03173258578073551,,-0.09895957009794104,-0.3065281703937255,,-0.14574010875746735,3,190,Page Hall (0061),64665
174,-0.1457950968097232,,,,,-0.1457950968097232,1,191,Animal House Kinnear Research Center (0174),6703
81,-0.17911431355961677,,0.002576462422737056,-0.2654286169295478,,-0.1473221560221425,3,192,Schottenstein Center (0081),626259
