buildingnumber,mean_residual,abs_mean_residual,std_residual,n_samples,residual_z,weather_ratio,weather_sensitivity_z,baseline_load_ratio,baseline_load_z,variability_cv,variability_z,size_tier,peer_z,composite_score,rank,utility
338,-8.810211717973625e-06,8.810211717973625e-06,7.415531843239849e-05,5164,-0.1462161641960353,1.3715044643591332,2.044854828827919,1.0521925942333603,-0.6900920727170871,0.5568126970012288,0.8805429221171479,Medium (10k-50k sqft),-0.3261826939197961,0.31024173619295864,11,COOLING
1108,-1.5351781686106505e-05,1.5351781686106505e-05,2.343762498595581e-06,5164,-0.0968070436066816,,-0.07918329953821378,,0.12601191315668736,,-0.19311598482939396,Very Large (>150k sqft),2.2716923723792193,0.29211006777416404,12,COOLING
870,-1.5351781686106505e-05,1.5351781686106505e-05,2.343762498595581e-06,5164,-0.0968070436066816,,-0.07918329953821378,,0.12601191315668736,,-0.19311598482939396,Very Large (>150k sqft),2.2716923723792193,0.29211006777416404,12,COOLING
165,-7.291911682548354e-06,7.291911682548354e-06,3.339088637561846e-05,5164,-0.15768403351587676,1.045496993072826,0.19013475093526458,1.444728053917853,1.5181410564866864,0.2234956280764758,-0.06945340754671056,Large (50k-150k sqft),-0.16742578472051775,0.2588180725895429,14,COOLING
55,-2.0067489633454544e-06,2.0067489633454544e-06,3.797899914682542e-05,5164,-0.19760338672918296,1.0536265113416294,0.23638516567960374,1.3680353974026382,1.0867016522105344,0.2731711096427466,0.07212807615731032,Large (50k-150k sqft),-0.22413957169711565,0.18253462322830194,15,COOLING
1018,0.0001598031778032467,0.0001598031778032467,0.0009622048020542385,4344,0.9942485416459537,0.894152531036152,-0.6708934068236208,1.0380239516880128,-0.7697986701532284,0.06453617024167489,-0.5225082180776071,Large (50k-150k sqft),1.4691352670090352,0.15213020443813047,16,COOLING
293,-6.687209011060866e-06,6.687209011060866e-06,2.655647364438174e-05,5164,-0.1622514121974133,1.0248896810582906,0.07289573431410597,1.3259121966971632,0.8497349145285567,0.27635820457705107,0.08121170484649406,Large (50k-150k sqft),-0.17391470101638035,0.12194525668382561,17,COOLING
337,-7.542143859466334e-06,7.542143859466334e-06,2.3164834838544364e-05,5164,-0.15579400530171614,0.9811735434447241,-0.1758138975231127,1.3812754017670634,1.1611841366511146,0.2925081998197791,0.12724125939098094,Medium (10k-50k sqft),-0.3302469996151987,0.11988498520145288,18,COOLING
294,-5.856266133989357e-06,5.856266133989357e-06,2.2015882375445576e-05,5164,-0.16852760537674102,1.0370786559855272,0.14224118961080912,1.3132886296798534,0.7787202374882881,0.21734275296775485,-0.08698988951872917,Large (50k-150k sqft),-0.18283134555955202,0.09316081854505498,19,COOLING
17,-4.032439921005169e-06,4.032439921005169e-06,2.7588981431689584e-05,5164,-0.18230314392946562,1.0133247995720747,0.007100868305970288,1.3634292439616287,1.0607894438337198,0.1701028190626953,-0.22162975050196934,Very Large (>150k sqft),-0.2759333560988914,0.08425265325896922,20,COOLING
1106,-5.967666219799036e-06,5.967666219799036e-06,4.604453981915942e-05,5164,-0.16768618958508116,1.071889876536899,0.3402890117598791,1.2690052836130032,0.5296014650456332,0.21829169892677283,-0.08428527201736759,Medium (10k-50k sqft),-0.3352933844716974,0.06073544001221838,21,COOLING
136,-6.2525412771014555e-06,6.2525412771014555e-06,4.239526005067135e-05,5164,-0.16553450029218628,0.9138758905097838,-0.5586833685846117,1.4186613807337842,1.3715013329329102,0.16285525014843272,-0.24228625000181847,Large (50k-150k sqft),-0.1785790140336137,0.04977345317668905,22,COOLING
