buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
24,5164,4.002474843989165e-06,0.08096211134266401,0.04637493257686941,0.023187466288434704,High,Postle Hall (0024),394592,HEAT
185,5164,1.455303717485285e-06,2.9651615335717083,0.04831140974260816,0.02415570487130408,High,Halloran House (0185),30286,HEAT
49,5164,6.75263703337054e-06,0.09276253155292458,0.055617864128721536,0.027808932064360768,High,Drinko Hall (0049),211467,HEAT
90,5164,8.797823515311615e-06,0.5247457944881078,0.05746041770804912,0.02873020885402456,High,Ramseyer Hall (0090),87452,HEAT
1040,5164,6.472276916044007e-06,0.29390546806534773,0.05985410037423433,0.029927050187117166,High,Pelotonia Research Center (1040),310590,HEAT
295,5164,6.902965341684403e-06,0.5438439697306618,0.06286308880187742,0.03143154440093871,High,Howlett Hall (0295),62825,HEAT
102,5164,9.193548412924258e-06,0.20566842840231728,0.06442802352910283,0.032214011764551416,High,Oxley Hall (0102),33481,HEAT
63,5164,8.413617620523898e-06,1.6589873081246744,0.06474043231415588,0.03237021615707794,High,Cockins Hall (0063),59866,HEAT
103,5164,9.365572047423883e-06,1.2106471951497806,0.06490955342162545,0.032454776710812726,High,Paterson Hall (0103),64484,HEAT
271,5164,7.340918997030264e-06,0.07464975224529023,0.06775940581225878,0.03387970290612939,High,Lincoln Tower (0271),321161,HEAT
375,5164,9.397769144780633e-06,0.06609615998848334,0.07071710199647091,0.035358550998235455,High,James Cancer Hospital (0375),1183561,HEAT
82,5164,9.30711886939237e-06,0.6511635597445568,0.07094415796756362,0.03547207898378181,High,Ohio Stadium (0082),854223,HEAT
5,5164,7.616655057630625e-06,0.32960858408730376,0.07095775563959053,0.035478877819795265,High,Eighteenth Avenue Library (0005),99181,HEAT
339,5164,9.783689829550818e-06,0.8036002498936161,0.07249846376177381,0.036249231880886905,High,University Hall (0339),77845,HEAT
11,5164,1.2641825441668584e-05,0.5814876458585579,0.07253584447610666,0.03626792223805333,High,Arps Hall (0011),129282,HEAT
4,5164,9.31604733185706e-06,0.09094248947127358,0.07312353964058418,0.03656176982029209,High,"Eighteenth Ave, 209 W (0004)",25034,HEAT
77,5164,1.2629847322067947e-05,0.7998855819711265,0.0741737093444781,0.03708685467223905,High,Central Service Building (0077),15136,HEAT
