buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
187,5164,2.3204728889267922e-05,0.2474347084430299,0.03614758691503912,0.01807379345751956,Medium,Mathematics Building (0187),28896,COOLING
148,5164,3.671753524920951e-05,0.17956706230856104,0.036758876678316565,0.018379438339158283,Medium,Scott Laboratory (0148),262375,COOLING
53,5164,3.9142618724778686e-05,0.15906758150505465,0.036812902531107625,0.018406451265553812,Medium,McPherson Chemical Laboratory (0053),117661,COOLING
851,5164,1.3883800900144955e-05,0.27998534785523405,0.036820006805487755,0.018410003402743878,Medium,Park-Stradley Hall (0851),271039,COOLING
299,5164,4.0356382680113656e-05,0.16364828740213305,0.036979903387179686,0.018489951693589843,Medium,Veterinary Medical Center (0299),278249,COOLING
372,5164,5.015825025343104e-05,0.12825864652943106,0.03707691517650159,0.018538457588250797,Medium,Brain and Spine Hospital (0372),258797,COOLING
1102,5164,2.467382221098443e-05,0.2510706267231823,0.03714139938685826,0.01857069969342913,Medium,Houston House (1102),138006,COOLING
136,5164,4.239526005067135e-05,0.16285525014843272,0.03746698745487961,0.018733493727439807,Medium,Veterinary Medicine Academic (0136),113459,COOLING
274,5164,2.1354631002092018e-05,0.25853451020026574,0.03751090779762321,0.018755453898811603,Medium,Hitchcock Hall (0274),118612,COOLING
165,5164,3.339088637561846e-05,0.2234956280764758,0.03808747784547231,0.019043738922736156,Medium,Harding Hospital (0165),114199,COOLING
246,5164,6.771861423000299e-05,0.10768217187797524,0.038175579598354534,0.019087789799177267,Medium,Recreation and Physical Activity Center (0246),279856,COOLING
852,5164,1.5778756505562516e-05,0.2956172809163446,0.0383206842880599,0.01916034214402995,Medium,Smith-Steeb Hall (0852),262198,COOLING
65,5164,2.65811925418289e-05,0.2561420956046753,0.038332747612205294,0.019166373806102647,Medium,Smith Laboratory (0065),218468,COOLING
1040,5164,3.828970800829508e-05,0.20249300084568533,0.038478770324446986,0.019239385162223493,Medium,Pelotonia Research Center (1040),310590,COOLING
72,5164,2.810935412076224e-05,0.24529166981689715,0.03851262802421951,0.019256314012109754,Medium,Enarson Classroom Building (0072),88768,COOLING
80,5164,4.9545904919167785e-05,0.15819367873433907,0.038676415580092285,0.019338207790046143,Medium,Sisson Hall (0080),55501,COOLING
1110,5164,4.746902014887304e-05,0.16534766826341188,0.0390959622879798,0.0195479811439899,Medium,Nosker House (1110),107132,COOLING
253,5164,4.629709941600243e-05,0.1674326798826009,0.039210699783991734,0.019605349891995867,Medium,Pfahl Hall (0253),58031,COOLING
337,5164,2.3164834838544364e-05,0.2925081998197791,0.03973742966111681,0.019868714830558406,Medium,Dulles Hall (0337),41284,COOLING
293,5164,2.655647364438174e-05,0.27635820457705107,0.0397452801805447,0.01987264009027235,Medium,Cunz Hall (0293),68100,COOLING
25,5164,1.3966514667699453e-05,0.31899979058727357,0.039752043471571644,0.019876021735785822,Medium,Derby Hall (0025),115334,COOLING
1106,5164,4.604453981915942e-05,0.21829169892677283,0.041209074371767664,0.020604537185883832,Medium,Curl Hall (1106),27916,COOLING
146,5164,5.1583558878538904e-05,0.17584601153003537,0.041375789680500014,0.020687894840250007,Medium,Bolz Hall (0146),82179,COOLING
251,5164,3.536902995752322e-05,0.25661354701352157,0.04184486055533902,0.02092243027766951,Low,Schoenbaum Hall (0251),62748,COOLING
46,5164,3.291730789526822e-05,0.2919095260217755,0.041976950870436444,0.020988475435218222,Low,Journalism Building (0046),84561,COOLING
1064,5136,2.9646669937856045e-05,0.3293005375459972,0.04370592279220721,0.021852961396103605,Low,Timashev Family Music Building (1064),82535,COOLING
55,5164,3.797899914682542e-05,0.2731711096427466,0.044119270223318977,0.022059635111659488,Low,Mershon Auditorium (0055),120223,COOLING
147,5164,4.986781676951642e-05,0.2509469483026584,0.044390865310896754,0.022195432655448377,Low,Newman and Wolfrom Laboratory of Chemistry (0147),62058,COOLING
