buildingnumber,n_samples,residual_std,residual_cv,residual_uncertainty,qrf_mean_interval,qrf_uncertainty,ngb_mean_std,ngb_uncertainty,rank_std,n_models,model_disagreement,combined_uncertainty,confidence_tier,buildingname,grossarea,utility
356,5164,1.821491838235753e-05,0.08680204367683396,0.050889254780418364,4.462963908521107e-05,0.016456068174094635,0.00026956881210599045,0.0001065561968231922,68.94418032002412,5,0.537643981445527,0.18068997134083079,Medium,"Twelfth Ave, 395 W (0356)",90747,ELECTRICITY
105,5164,1.558349492420998e-05,0.07046039937081168,0.04614452259406035,3.6679671527837866e-05,0.011365787294791065,0.00026943942244589555,9.852436605783989e-05,70.40454530781375,5,0.5492707670652595,0.1814808123764024,Medium,Kennedy Commons (0105),36868,ELECTRICITY
270,5164,8.242955450992141e-06,0.06162907490540544,0.03580171361455751,3.888780850009768e-05,0.024941185423605516,0.00026943942244589555,0.00019490985604376235,70.3789741329042,5,0.5490671805843429,0.18172520109397808,Medium,Woody Hayes Athletic Center (0270),202623,ELECTRICITY
227,5164,3.468314560762205e-05,0.23486814533040082,0.08368730672936314,5.669813693106119e-05,0.035071231239818826,0.0002695000655945035,0.0001719729244667238,63.32613994236503,5,0.49291560763473813,0.18177447805785513,Medium,Center for Automotive Research (0227),42008,ELECTRICITY
1103,5164,5.865739909565141e-06,0.08237800280345692,0.03135624431745741,2.948943800673803e-05,0.03835337987306168,0.00026943942244589555,0.0004091149003609467,69.77607039666249,5,0.5442671254274276,0.1823367231267851,Medium,Raney House (1103),134247,ELECTRICITY
88,5164,2.3669635450122373e-06,0.06829107741753303,0.02445261405890161,1.1746884435330868e-05,0.03017681253351958,0.00026943942244589555,0.0008920974103245478,71.84705978674423,5,0.5607554347614291,0.1832404323910278,Medium,Parking Garage - Tuttle Park Pl (0088),364069,ELECTRICITY
848,5164,7.04330493911773e-06,0.14740805572592075,0.03309654738572307,5.191076562059039e-05,0.11142318208910225,0.00026943942244589555,0.0006336772758606123,62.599520764938774,5,0.4871305843879754,0.18401898664576422,Medium,William Hall Complex - Scholars House East (0848),19382,ELECTRICITY
353,5164,5.806344716100111e-06,0.03028194296151339,0.029477701307934596,1.571186728763234e-05,0.0022463658336816313,0.00026943942244589555,0.00012115522961196547,74.62037255334498,5,0.582835334829794,0.18427367558418078,Medium,Ross Heart Hospital (0353),311590,ELECTRICITY
864,5164,4.2960377889833517e-07,0.01112934292172363,0.020398327626098726,7.072014657216569e-06,0.01325282382375132,0.00026943942244589555,0.0007960184252984498,74.6538679506963,5,0.5831020104947872,0.18448271015599838,Medium,Hanley Alumnae Scholarship House (0864),5519,ELECTRICITY
253,5164,1.4643557690346845e-05,0.09815118657802406,0.047684430950262466,5.6886889953227185e-05,0.03478268866449208,0.00026943942244589555,0.00016966821118032444,69.08328307195599,5,0.538751456555756,0.18465188864960563,Medium,Pfahl Hall (0253),58031,ELECTRICITY
