building,composite_z,mean_z,n_utilities,min_r2,mean_r2,grossarea,utilities
100,-0.2789583631312562,-0.1394791815656281,2,0.4985108529234029,0.6708908277719212,83336,"ELECTRICITY, HEAT"
1004,-0.2815950296345586,-0.1407975148172793,2,0.180232585754981,0.5162042793130873,116273,"ELECTRICITY, GAS"
878,-0.28329691608958135,-0.14164845804479068,2,0.4545685430821731,0.6611465915620447,79960,"ELECTRICITY, GAS"
267,-0.2836698150244218,-0.1418349075122109,2,0.1894823879846994,0.5309010130961371,155353,"ELECTRICITY, GAS"
150,-0.2899982427586171,-0.07249956068965427,4,-1.4445889650099786,0.31600334261003815,117574,"COOLING, ELECTRICITY, GAS, HEAT"
284,-0.29692332690372714,-0.14846166345186357,2,0.3968109194413669,0.5865367826317264,182142,"ELECTRICITY, GAS"
232,-0.2974901220556372,-0.1487450610278186,2,0.0740125285140667,0.4891679122201483,31371,"ELECTRICITY, GAS"
869,-0.29790927550946933,-0.14895463775473466,2,0.0192213856214801,0.33631002726429154,5904,"ELECTRICITY, GAS"
217,-0.3010659326945062,-0.1505329663472531,2,0.0576968091861603,0.4603013674396806,3827,"ELECTRICITY, GAS"
355,-0.3051325729022921,-0.15256628645114606,2,0.2999600698119027,0.5109668645827168,58264,"ELECTRICITY, HEAT"
850,-0.3053765378631753,-0.15268826893158766,2,0.0951650194475863,0.4988702341676529,189625,"ELECTRICITY, GAS"
350,-0.30873418055011004,-0.15436709027505502,2,0.3155447765644066,0.6035326347136393,68253,"ELECTRICITY, GAS"
852,-0.3107150383639579,-0.10357167945465263,3,-14.266264225297297,-4.201996812305324,262198,"COOLING, ELECTRICITY, HEAT"
306,-0.31802229465364584,-0.15901114732682292,2,0.3952626532274556,0.6080610515102262,102455,"ELECTRICITY, GAS"
271,-0.32297600648134717,-0.16148800324067358,2,0.7984761509209111,0.8361773035339346,321161,"ELECTRICITY, HEAT"
977,-0.3256375586060186,-0.1628187793030093,2,-5.192136430501791,-2.322936678414595,40704,"ELECTRICITY, GAS"
66,-0.3303839007404059,-0.16519195037020296,2,0.0915886270889005,0.49638908565202705,45947,"ELECTRICITY, GAS"
252,-0.33220426632244215,-0.11073475544081406,3,0.66894510830942,0.8332050643328328,68150,"COOLING, ELECTRICITY, HEAT"
127,-0.33419669689273634,-0.16709834844636817,2,0.134940533161001,0.3874319705647723,23886,"COOLING, ELECTRICITY"
154,-0.3372825403440074,-0.1686412701720037,2,0.1028575170520817,0.16117115551458816,5661,"ELECTRICITY, GAS"
77,-0.3381910776353642,-0.1690955388176821,2,0.4311748573781045,0.6400279121060874,15136,"COOLING, HEAT"
38,-0.3438965598887199,-0.17194827994435996,2,0.9121674850720148,0.922584123624894,284272,"COOLING, ELECTRICITY"
995,-0.34677045157638897,-0.17338522578819449,2,0.3097490812221702,0.6078246583523095,27573,"ELECTRICITY, GAS"
279,-0.35191272158289566,-0.17595636079144783,2,0.6505140657216282,0.7643352475069991,185430,"ELECTRICITY, HEAT"
381,-0.3574712818300578,-0.1787356409150289,2,0.3244906247744229,0.6056002374587022,124887,"ELECTRICITY, GAS"
921,-0.3633877093685495,-0.18169385468427476,2,0.4838838149153668,0.6923478761131647,115562,"ELECTRICITY, GAS"
311,-0.36590448724743907,-0.18295224362371953,2,0.4890554203018831,0.672172650607638,75660,"ELECTRICITY, GAS"
112,-0.36657423498673214,-0.18328711749336607,2,-1.037753376539725,-0.057677476304079156,412630,"ELECTRICITY, GAS"
385,-0.3680804514583119,-0.18404022572915596,2,0.0070336692944223,0.44378891618483113,40376,"ELECTRICITY, GAS"
347,-0.3703920569272048,-0.1851960284636024,2,0.0,0.40589452124321523,23728,"ELECTRICITY, GAS"
17,-0.371165001463716,-0.092791250365929,4,-496442795.9122368,-124113235.39932929,174422,"COOLING, ELECTRICITY, GAS, HEAT"
98,-0.37151796969097994,-0.18575898484548997,2,0.5129771463549515,0.6549233889067492,61355,"ELECTRICITY, HEAT"
14,-0.38233441545016067,-0.12744480515005355,3,-0.0387690188224341,0.5534301095588855,112502,"ELECTRICITY, GAS, HEAT"
113,-0.38388582969273255,-0.19194291484636627,2,0.0,0.4700695478314866,139528,"ELECTRICITY, GAS"
373,-0.38459006604564994,-0.19229503302282497,2,0.2030828494684602,0.5223045950514548,47376,"ELECTRICITY, GAS"
148,-0.38722955456222063,-0.09680738864055516,4,-2951.6868668901634,-737.4707089156935,262375,"COOLING, ELECTRICITY, GAS, HEAT"
156,-0.3873025062976324,-0.1936512531488162,2,0.389406604496479,0.6395878286124528,55996,"ELECTRICITY, GAS"
902,-0.3908183573295862,-0.1954091786647931,2,0.0762965880551003,0.4066707636662893,5321,"ELECTRICITY, GAS"
1043,-0.39544630004485887,-0.1318154333482863,3,0.5581365073004259,0.7469875529854426,396764,"COOLING, ELECTRICITY, HEAT"
1105,-0.3969991904496228,-0.13233306348320759,3,0.0420940953679758,0.5734922795898049,117017,"COOLING, ELECTRICITY, HEAT"
97,-0.39742186219542963,-0.19871093109771482,2,0.5244962459783756,0.7229644491696424,70349,"ELECTRICITY, HEAT"
52,-0.4029328644957322,-0.2014664322478661,2,0.1675522077723509,0.5141891879981207,68619,"ELECTRICITY, GAS"
12,-0.40666006882964895,-0.20333003441482447,2,0.7008381317719499,0.786824364058293,18280,"ELECTRICITY, STEAM"
281,-0.42044193670253227,-0.21022096835126614,2,0.7278643202623952,0.7878713293480257,76545,"ELECTRICITY, HEAT"
1006,-0.4216896067818494,-0.2108448033909247,2,0.4678122475846545,0.6490838159377955,124950,"ELECTRICITY, GAS"
308,-0.42274918941749184,-0.1409163964724973,3,-0.0233933274508502,0.5717240946415841,97650,"ELECTRICITY, GAS, HEAT"
90,-0.4275527976417307,-0.21377639882086535,2,0.8962142039012114,0.9197686893021153,87452,"ELECTRICITY, HEAT"
102,-0.43126120437242565,-0.21563060218621283,2,0.4819090624566083,0.6522894176482102,33481,"ELECTRICITY, HEAT"
22,-0.43628494352114716,-0.21814247176057358,2,0.1637646538506336,0.5004831759131068,56976,"ELECTRICITY, GAS"
170,-0.4364137583939565,-0.21820687919697826,2,-0.0942200470120562,0.1339833082849189,367640,"ELECTRICITY, GAS"
59,-0.438220590391422,-0.219110295195711,2,0.7485287322898438,0.7915228685798563,58051,"ELECTRICITY, HEAT"
295,-0.4418811247959642,-0.2209405623979821,2,0.9005029005153231,0.9284189800075026,62825,"ELECTRICITY, HEAT"
9,-0.44259573617890363,-0.22129786808945182,2,0.066530190533486,0.4526782952015355,30898,"ELECTRICITY, GAS"
73,-0.4443206681805648,-0.2221603340902824,2,-0.0171484682125162,0.43701367512996436,119119,"ELECTRICITY, GAS"
303,-0.4467137411393904,-0.2233568705696952,2,0.1164488486286225,0.5094567149486491,133041,"ELECTRICITY, GAS"
85,-0.45047719950019666,-0.22523859975009833,2,0.6750801189956543,0.7660924644074996,47001,"ELECTRICITY, STEAM"
128,-0.4586172104687626,-0.2293086052343813,2,0.0772121791121352,0.27592796829752586,2784,"ELECTRICITY, GAS"
268,-0.4659246560559098,-0.2329623280279549,2,0.0399702103025828,0.4406622958174575,143043,"ELECTRICITY, GAS"
348,-0.4709199994081863,-0.23545999970409315,2,0.1172529502257422,0.42639108246887997,23535,"ELECTRICITY, GAS"
226,-0.4747424525325209,-0.23737122626626045,2,0.1824665339781593,0.4641216974367241,13973,"ELECTRICITY, GAS"
254,-0.48837621500160205,-0.12209405375040051,4,-43946.82995968219,-10986.319752256533,127992,"COOLING, ELECTRICITY, GAS, HEAT"
372,-0.48990410558343067,-0.12247602639585767,4,-2.68513254585398,-0.021377881441917407,258797,"COOLING, ELECTRICITY, GAS, HEAT"
337,-0.4932995549263163,-0.16443318497543877,3,0.7169885081703797,0.8096707839352878,41284,"COOLING, ELECTRICITY, HEAT"
1103,-0.49461983868300285,-0.12365495967075071,4,0.0,0.47484493043174625,134247,"COOLING, ELECTRICITY, GAS, HEAT"
931,-0.49625903628697576,-0.24812951814348788,2,0.2186725566963707,0.48383033319545166,42405,"ELECTRICITY, GAS"
1029,-0.49893497592512503,-0.24946748796256252,2,0.0367973362705327,0.4334588289724619,60996,"ELECTRICITY, GAS"
155,-0.5043218540180245,-0.25216092700901227,2,0.0316442519127825,0.4248249303672338,6237,"ELECTRICITY, GAS"
339,-0.5097131051240142,-0.1699043683746714,3,-0.9606528648501776,0.22437652450410173,77845,"COOLING, ELECTRICITY, HEAT"
932,-0.5106362070427923,-0.25531810352139617,2,0.4242428291285213,0.576756018141209,104514,"ELECTRICITY, GAS"
360,-0.5144541461364363,-0.2572270730682181,2,0.1004625832272539,0.44890517324119744,58495,"ELECTRICITY, GAS"
1583,-0.5162893008846882,-0.2581446504423441,2,0.044456421591244,0.20012300785157922,10495,"ELECTRICITY, GAS"
294,-0.5224326561310655,-0.17414421871035515,3,0.8553865137243719,0.889856702215884,65255,"COOLING, ELECTRICITY, HEAT"
49,-0.5231886149952337,-0.26159430749761686,2,0.763467522198205,0.8202686669919473,211467,"ELECTRICITY, HEAT"
30,-0.5235570584336791,-0.26177852921683953,2,0.8587194912152051,0.8825280412007832,103772,"ELECTRICITY, HEAT"
67,-0.5248135681352902,-0.17493785604509673,3,0.0,0.3935221891016463,93504,"COOLING, ELECTRICITY, HEAT"
86,-0.5452732006252279,-0.27263660031261394,2,0.8143281808667218,0.8718182537351074,91588,"ELECTRICITY, HEAT"
1104,-0.5467626121138172,-0.18225420403793904,3,0.0160514175473031,0.5495901312583108,95448,"COOLING, ELECTRICITY, HEAT"
297,-0.5544758339368363,-0.13861895848420908,4,0.0,0.6606387620073982,41678,"ELECTRICITY, GAS, HEAT, STEAM"
275,-0.5572871440789192,-0.18576238135963974,3,0.0,0.5507772282470924,80675,"ELECTRICITY, GAS, HEAT"
82,-0.5607505497729619,-0.28037527488648095,2,0.6141090793169092,0.7056979517759703,854223,"ELECTRICITY, HEAT"
46,-0.5609161064018481,-0.1869720354672827,3,0.6859821785286251,0.8053963790049821,84561,"COOLING, ELECTRICITY, HEAT"
11,-0.5671935734659606,-0.18906452448865352,3,0.9196655011287076,0.9328237243607763,129282,"COOLING, ELECTRICITY, HEAT"
194,-0.5815266281965775,-0.29076331409828876,2,0.5540772078543958,0.7118827425428055,38462,"ELECTRICITY, HEAT"
340,-0.5820297244128916,-0.19400990813763053,3,-4.896406059564019,-1.0488748260644438,166094,"ELECTRICITY, GAS, HEAT"
5,-0.5825442853512743,-0.19418142845042477,3,0.5462651252922314,0.6990718882668244,99181,"COOLING, ELECTRICITY, HEAT"
